Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,,,,,96.7551574707031,87.1099090576172,100.881057739258,104.093566894531,90.206901550293,91.4094009399414,97.0914077758789,97.6032028198242,106.258689880371,104.027778625488,95.4054107666016,98.3717803955078,,,99.4520492553711,106.056129455566,,,,106.101188659668,107.025413513184,99.4091567993164,103.091186523438,93.4065933227539,
Africa Eastern and Southern,47.5599212646484,48.7419204711914,47.6988716125488,49.1685791015625,48.0069618225098,48.3121185302734,48.5949516296387,48.0526809692383,46.7477912902832,46.6758804321289,46.0334281921387,47.8666381835938,49.089469909668,50.4168014526367,51.5113906860352,54.0342216491699,56.8873596191406,58.7224082946777,62.2936210632324,66.6188125610352,66.8737411499023,65.3809280395508,65.7979125976562,65.8725814819336,66.4142379760742,66.4349670410156,67.4167327880859,68.6395492553711,69.875,70.3737335205078,71.271110534668,72.3049163818359,71.3362274169922,
Afghanistan,,,,17.0720405578613,,,,,,,,,,,,,,,,,,,,,,,65.5676116943359,69.0419235229492,69.7666091918945,67.502799987793,,,,
Africa Western and Central,49.7946510314941,49.8466911315918,50.1471405029297,50.2841796875,50.3575401306152,50.2403297424316,50.9124183654785,50.9613189697266,51.3967781066895,51.7139892578125,52.3688011169434,53.0450210571289,53.428409576416,54.0705718994141,54.3643608093262,56.4012298583984,58.999870300293,56.6535415649414,55.369010925293,58.2451782226562,59.6769790649414,61.0737609863281,62.7378616333008,62.7260284423828,63.2800102233887,64.3095169067383,64.9287796020508,64.4577789306641,64.7812118530273,64.994743347168,65.4384689331055,66.1529312133789,64.9267883300781,65.617790222168
Angola,,,,,,,,,,,,,,,,,,,36.5583992004395,36.4576797485352,36.21923828125,35.8636512756348,,,,,,,,,,59.0305480957031,60.2004280090332,
Albania,,,,,,,90.5802612304688,,,,,,,107.92537689209,104.720672607422,,,108.718589782715,109.860473632812,107.613922119141,101.488723754883,100.700141906738,118.649780273438,87.7723236083984,106.871688842773,98.1427001953125,99.8697204589844,104.463073730469,102.025398254395,94.476188659668,97.0400924682617,94.8492889404297,97.5027618408203,91.6996002197266
Andorra,,,,,,,,,,,,,92.7492370605469,102.424240112305,106.194686889648,,,,,,,,,,65.6756820678711,68.6015777587891,64.207649230957,66.0919494628906,62.3595504760742,61.9946098327637,61.6438407897949,60.0928115844727,,68.1592025756836
Arab World,60.6329383850098,61.1634292602539,62.1596183776855,62.5797882080078,63.5554008483887,64.8087387084961,66.1448822021484,67.2033004760742,68.5852203369141,69.9846115112305,70.1088333129883,71.4542007446289,72.6302185058594,74.0966110229492,75.8075180053711,76.5795364379883,75.4505233764648,77.4545822143555,78.7069931030273,78.5941619873047,80.3950500488281,80.9038391113281,82.364387512207,78.4387969970703,78.7321395874023,78.0686798095703,78.0720672607422,78.3507385253906,79.3878021240234,79.6808013916016,80.7505187988281,80.9645080566406,82.3646697998047,83.7298965454102
United Arab Emirates,86.0195465087891,92.0921325683594,92.1190032958984,91.0666122436523,91.9542694091797,91.441650390625,87.9795913696289,86.6882781982422,86.7059478759766,91.7437591552734,95.1232070922852,112.213371276855,107.776969909668,95.6738662719727,92.1145172119141,90.7786331176758,88.3129119873047,88.7828598022461,,66.9717864990234,68.2881927490234,68.4539108276367,72.6052627563477,74.9869613647461,77.1275100708008,78.8523330688477,,,,83.0013580322266,80.0256805419922,,,100.922790527344
Argentina,,,,,,,94.6956024169922,94.9833297729492,103.833137512207,100.894821166992,100.942520141602,100.522903442383,103.205833435059,100.646942138672,98.8051834106445,95.7585906982422,96.6716003417969,99.4710311889648,103.054336547852,103.559028625488,103.731307983398,103.920051574707,104.117866516113,103.587631225586,105.598808288574,106.296783447266,107.820762634277,102.229911804199,101.081398010254,101.146430969238,105.180068969727,106.392417907715,103.885749816895,
Armenia,,,,,,,,,,,,,82.730712890625,86.5207977294922,99.0403823852539,93.8797378540039,92.8469696044922,97.5237274169922,98.5157318115234,,91.8632583618164,93.5342178344727,93.8078994750977,,93.342041015625,94.1152420043945,104.379989624023,101.938011169434,98.5882186889648,95.9885711669922,101.778373718262,100.186752319336,91.0718765258789,92.3628005981445
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,84.2880477905273,,,,,,,,,,,,,,,,109.127517700195,104.264099121094,118.195266723633,113.567070007324,,114.940826416016,109.355827331543,99.0551223754883,99.1987152099609,106.462043762207,107.729469299316,107.728706359863,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,99.8747406005859,98.9233322143555,,,99.5028762817383,,100.30689239502,,,,,,,100.442520141602,96.7753067016602,98.5312423706055,98.0967864990234,98.6279830932617,96.5676727294922,98.8874206542969,98.2095718383789,98.9782028198242,97.4406890869141,100.079627990723,96.6240692138672,
Azerbaijan,,,,,,,,,,,85.497428894043,93.9814987182617,100.991226196289,90.2480926513672,94.8574981689453,89.6128005981445,90.9314270019531,98.4918518066406,89.7155990600586,91.4284362792969,88.9788513183594,92.1835632324219,91.5945892333984,86.5466766357422,97.6105194091797,101.61833190918,109.720207214355,107.618377685547,100.641212463379,100.373161315918,99.1685180664062,96.5256805419922,99.0121307373047,95.9460678100586
Burundi,31.703540802002,39.7745590209961,39.4535293579102,42.9379386901855,,,,,,,22.9664001464844,23.2510890960693,23.4105892181396,26.4568996429443,27.1102409362793,31.3628101348877,,45.2214088439941,39.930290222168,47.9386405944824,53.5865783691406,59.7081413269043,66.2401123046875,74.8393630981445,73.8823471069336,66.9074096679688,69.1788177490234,68.0269927978516,61.619930267334,57.89453125,53.001838684082,,,
Belgium,,80.0240020751953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
